YEAR,SPECIES,age,sex,WING,TAIL,BILL.LENGTH,BILL.WIDTH,BILL.DEPTH,WEIGHT,ELEVATION
2018,SLATY ANTWREN,FCF,F,53.0,31.0,7.1,3.2,3.3,7.7,640
2018,OCHRE-BELLIED FLYCATCHER,FAJ,NA,58.0,45.0,7.9,4.3,3.6,10.8,640
2018,PLAIN ANTVIREO,DCB,M,57.0,38.0,8.3,3.9,4.1,12.7,640
2018,ORANGE-BELLIED EUPHONIA,FCF,M,60.0,35.0,6.7,5.1,5,13,640
2018,CHECKER-THROATED STIPPLETHROAT,DCB,NA,50.0,32.0,9.6,4.1,4.1,10.5,640
2018,OLIVE-STRIPED FLYCATCHER,FAJ,NA,67.0,52.0,9.9,4.2,4,16.2,640
2018,BLACK-CROWNED ANTSHRIKE,SPB,M,68.0,58.0,12.2,5.6,6.2,20.8,640
2018,CROWNED WOODNYMPH,UCU,NA,50.0,30.0,17.5,2.1,1.7,3.7,640
2018,CROWNED WOODNYMPH,SPB,NA,49.0,30.0,17,2.4,2.2,4.2,640
2018,WHITE-WHISKERED HERMIT,UCU,M,62.0,50.0,38.9,2.3,2.8,6.5,640
2018,WHITE-WHISKERED HERMIT,UCU,NA,61.0,55.0,39.1,2.4,2.5,5.7,640
2018,WHITE-WHISKERED HERMIT,UCU,M,57.0,54.0,36.8,3.2,3.1,4.8,640
2018,GREEN-CROWNED BRILLIANT,UCU,NA,68.0,39.0,31.6,3,2.6,9.1,640
2018,WHITE-WHISKERED HERMIT,UCU,NA,56.0,55.0,34.6,2.1,2.2,5.2,640
2018,WHITE-WHISKERED HERMIT,UCU,NA,57.0,58.0,35.3,2.6,2.5,5.3,640
2018,GREEN-CROWNED BRILLIANT,UCU,NA,57.0,38.0,23.4,2.8,2.6,7,640
2018,SLATY ANTWREN,SPB,NA,54.0,31.0,8.2,3.7,3.7,8.4,640
2018,WHITE-THROATED SPADEBILL,FCJ,NA,52.0,24.0,6.7,7,3.8,7.9,640
2018,OLIVE-STRIPED FLYCATCHER,DCB,M,68.0,53.0,10.1,4.1,3.9,13.9,640
2018,CHECKER-THROATED STIPPLETHROAT,DPB,M,50.0,32.0,9.4,4.2,4.3,10.3,640
2018,PLAIN ANTVIREO,NA,NA,NA,NA,NA,NA,NA,12.5,640
2018,ORANGE-BELLIED EUPHONIA,NA,NA,NA,NA,NA,NA,NA,13,640
2018,OLIVE-STRIPED FLYCATCHER,FCU,NA,61.0,46.0,9.1,4,4,13.1,640
2018,OLIVE-STRIPED FLYCATCHER,FCF,NA,65.0,50.0,10.4,4.4,3.7,15.2,640
2018,ORANGE-BELLIED EUPHONIA,DCB,M,58.0,31.0,6.3,4.9,4.7,12,640
2018,BICOLORED ANTBIRD,DPB,F,80.0,48.0,12.5,4.8,5,31.3,640
2018,CROWNED WOODNYMPH,UCU,NA,50.0,30.0,17.6,2,1.9,3.8,640
2018,CROWNED WOODNYMPH,UCU,NA,47.0,28.0,15.6,2.7,2,NA,640
2018,CROWNED WOODNYMPH,UCU,NA,54.0,29.0,17.1,2.3,2,3.9,640
2018,CROWNED WOODNYMPH,UCU,NA,52.0,28.0,18.1,2.5,1.7,3.6,640
2018,WHITE-WHISKERED HERMIT,NA,NA,59.0,52.0,35.5,2.7,2.7,5.2,640
2018,GREEN-CROWNED BRILLIANT,UCU,NA,64.0,38.0,24.1,3,2.6,7.2,640
2018,GREEN-CROWNED BRILLIANT,DCB,M,73.0,47.0,22,3.1,2.8,8.2,640
2018,CROWNED WOODNYMPH,DPB,F,50.0,31.0,19.8,2.3,1.8,2.9,640
2018,VIOLET-BELLIED HUMMINGBIRD,UCU,NA,42.0,28.0,14.3,2.6,2,2.6,640
2018,CROWNED WOODNYMPH,UCU,NA,48.0,28.0,18.5,2.3,2,4,640
2018,OCHRE-BELLIED FLYCATCHER,NA,NA,NA,NA,NA,NA,NA,11.8,640
2018,OLIVE-STRIPED FLYCATCHER,FCF,NA,61.0,56.0,9.8,4.6,3.5,14,640
2018,SLATY ANTWREN,SPB,M,52.0,31.0,7.4,3.6,3.4,8.6,640
2018,WHITE-THROATED SPADEBILL,NA,NA,55.0,30.0,6.5,7,3,10.3,640
2018,ORANGE-BELLIED EUPHONIA,NA,NA,NA,NA,NA,NA,NA,12,640
